"estado","candidato","votos","ano","turno","nome","porcentagem"
"Sergipe","Luiz Inácio Lula da Silva",490989,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",57.5
"Bahia","Luiz Inácio Lula da Silva",3710900,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",65.69
"Minas Gerais","Luiz Inácio Lula da Silva",6384690,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",66.45
"Espírito Santo","Luiz Inácio Lula da Silva",944172,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",59.36
"Rio de Janeiro","Luiz Inácio Lula da Silva",6318104,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",78.97
"São Paulo","Luiz Inácio Lula da Silva",11264282,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",55.39
"Paraná","Luiz Inácio Lula da Silva",2929427,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",59.22
"Goiás","Luiz Inácio Lula da Silva",1424236,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",57.08
"Distrito Federal","Luiz Inácio Lula da Silva",777708,2002,"Turno 2","2002 - Luiz Inácio Lula da Silva",62.26
"Rondônia","Geraldo Alckmin",344096,2006,"Turno 1","2006 - Geraldo Alckmin",47.04
"Acre","Geraldo Alckmin",161889,2006,"Turno 1","2006 - Geraldo Alckmin",51.78
"Amazonas","Geraldo Alckmin",170785,2006,"Turno 1","2006 - Geraldo Alckmin",12.45
"Roraima","Geraldo Alckmin",112908,2006,"Turno 1","2006 - Geraldo Alckmin",59.7
"Pará","Geraldo Alckmin",1310437,2006,"Turno 1","2006 - Geraldo Alckmin",41.59
"Amapá","Geraldo Alckmin",95070,2006,"Turno 1","2006 - Geraldo Alckmin",32.18
"Tocantins","Geraldo Alckmin",249544,2006,"Turno 1","2006 - Geraldo Alckmin",37.3
"Maranhão","Geraldo Alckmin",530164,2006,"Turno 1","2006 - Geraldo Alckmin",18.81
"Piauí","Geraldo Alckmin",440063,2006,"Turno 1","2006 - Geraldo Alckmin",28.04
"Ceará","Geraldo Alckmin",912726,2006,"Turno 1","2006 - Geraldo Alckmin",22.78
"R. G. do Norte","Geraldo Alckmin",499934,2006,"Turno 1","2006 - Geraldo Alckmin",31.57
"Paraíba","Geraldo Alckmin",537042,2006,"Turno 1","2006 - Geraldo Alckmin",27.87
"Pernambuco","Geraldo Alckmin",964730,2006,"Turno 1","2006 - Geraldo Alckmin",22.86
"Alagoas","Geraldo Alckmin",506722,2006,"Turno 1","2006 - Geraldo Alckmin",37.79
"Sergipe","Geraldo Alckmin",446454,2006,"Turno 1","2006 - Geraldo Alckmin",44.35
"Bahia","Geraldo Alckmin",1676484,2006,"Turno 1","2006 - Geraldo Alckmin",26.02
"Minas Gerais","Geraldo Alckmin",4151507,2006,"Turno 1","2006 - Geraldo Alckmin",40.6
"Espírito Santo","Geraldo Alckmin",668792,2006,"Turno 1","2006 - Geraldo Alckmin",37.13
"Rio de Janeiro","Geraldo Alckmin",2402076,2006,"Turno 1","2006 - Geraldo Alckmin",28.85
"São Paulo","Geraldo Alckmin",11927802,2006,"Turno 1","2006 - Geraldo Alckmin",54.18
"Paraná","Geraldo Alckmin",2953572,2006,"Turno 1","2006 - Geraldo Alckmin",53
"Santa Catarina","Geraldo Alckmin",1889277,2006,"Turno 1","2006 - Geraldo Alckmin",56.59
"R. G. do Sul","Geraldo Alckmin",3460730,2006,"Turno 1","2006 - Geraldo Alckmin",55.73
"Mato Grosso","Geraldo Alckmin",790320,2006,"Turno 1","2006 - Geraldo Alckmin",54.81
"Goiás","Geraldo Alckmin",1465628,2006,"Turno 1","2006 - Geraldo Alckmin",51.5
"Distrito Federal","Geraldo Alckmin",594521,2006,"Turno 1","2006 - Geraldo Alckmin",44.09
"Rondônia","Geraldo Alckmin",320806,2006,"Turno 2","2006 - Geraldo Alckmin",44.67
"Acre","Geraldo Alckmin",137911,2006,"Turno 2","2006 - Geraldo Alckmin",47.64
"Amazonas","Geraldo Alckmin",176338,2006,"Turno 2","2006 - Geraldo Alckmin",13.2
"Roraima","Geraldo Alckmin",106890,2006,"Turno 2","2006 - Geraldo Alckmin",61.49
"Pará","Geraldo Alckmin",1220564,2006,"Turno 2","2006 - Geraldo Alckmin",39.88
"Amapá","Geraldo Alckmin",80601,2006,"Turno 2","2006 - Geraldo Alckmin",29.6
"Tocantins","Geraldo Alckmin",189491,2006,"Turno 2","2006 - Geraldo Alckmin",29.73
"Maranhão","Geraldo Alckmin",414108,2006,"Turno 2","2006 - Geraldo Alckmin",15.37
"Piauí","Geraldo Alckmin",356879,2006,"Turno 2","2006 - Geraldo Alckmin",22.68
"Ceará","Geraldo Alckmin",725990,2006,"Turno 2","2006 - Geraldo Alckmin",17.62
"R. G. do Norte","Geraldo Alckmin",477212,2006,"Turno 2","2006 - Geraldo Alckmin",30.27
"Paraíba","Geraldo Alckmin",492524,2006,"Turno 2","2006 - Geraldo Alckmin",24.99
"Pernambuco","Geraldo Alckmin",894062,2006,"Turno 2","2006 - Geraldo Alckmin",21.52
"Alagoas","Geraldo Alckmin",516059,2006,"Turno 2","2006 - Geraldo Alckmin",38.55
"Sergipe","Geraldo Alckmin",404897,2006,"Turno 2","2006 - Geraldo Alckmin",39.84
"Bahia","Geraldo Alckmin",1456417,2006,"Turno 2","2006 - Geraldo Alckmin",21.92
"Minas Gerais","Geraldo Alckmin",3635228,2006,"Turno 2","2006 - Geraldo Alckmin",34.81
"Espírito Santo","Geraldo Alckmin",625852,2006,"Turno 2","2006 - Geraldo Alckmin",34.46
"Rio de Janeiro","Geraldo Alckmin",2406487,2006,"Turno 2","2006 - Geraldo Alckmin",30.31
"São Paulo","Geraldo Alckmin",11696938,2006,"Turno 2","2006 - Geraldo Alckmin",52.26
"Paraná","Geraldo Alckmin",2744697,2006,"Turno 2","2006 - Geraldo Alckmin",50.75
"Santa Catarina","Geraldo Alckmin",1776776,2006,"Turno 2","2006 - Geraldo Alckmin",54.53
"R. G. do Sul","Geraldo Alckmin",3485916,2006,"Turno 2","2006 - Geraldo Alckmin",55.35
